Ensembl gene ID,Tissue,Subtype
ENSG00000076242,Whole_Blood,proximal
ENSG00000076242,Adipose_Visceral_Omentum,proximal
ENSG00000076242,Whole_Blood,colon
ENSG00000076242,Adipose_Visceral_Omentum,colon
ENSG00000165617,Colon_Transverse,male
ENSG00000262003,Adipose_Subcutaneous,distal
ENSG00000076242,Adipose_Subcutaneous,proximal
ENSG00000272334,Adipose_Subcutaneous,proximal
ENSG00000272334,Adipose_Subcutaneous,colon
ENSG00000165617,Colon_Transverse,colon
ENSG00000176845,Adipose_Visceral_Omentum,rectal
ENSG00000261888,Adipose_Subcutaneous,rectal
ENSG00000076242,Cells_EBV-transformed_lymphocytes,proximal
ENSG00000273619,Colon_Sigmoid,female
ENSG00000178567,Adipose_Visceral_Omentum,colon
ENSG00000178567,Adipose_Visceral_Omentum,proximal
ENSG00000267858,Colon_Sigmoid,overall
ENSG00000123268,Adipose_Subcutaneous,male
ENSG00000123268,Adipose_Subcutaneous,overall
ENSG00000123268,Adipose_Subcutaneous,colon
ENSG00000272334,Colon_Transverse,proximal
ENSG00000273619,Adipose_Visceral_Omentum,female
ENSG00000273619,Adipose_Subcutaneous,female
ENSG00000123268,Colon_Sigmoid,overall
ENSG00000123268,Colon_Sigmoid,colon
ENSG00000123268,Colon_Sigmoid,male
ENSG00000272334,Colon_Transverse,colon
ENSG00000123268,Colon_Sigmoid,female
ENSG00000123268,Adipose_Subcutaneous,female
ENSG00000050405,Colon_Transverse,colon
ENSG00000050405,Colon_Transverse,overall
ENSG00000130701,Colon_Transverse,female
ENSG00000123268,Adipose_Subcutaneous,proximal
ENSG00000273619,Whole_Blood,female
ENSG00000123268,Colon_Sigmoid,rectal
ENSG00000149485,Colon_Sigmoid,overall
ENSG00000136280,Whole_Blood,female
ENSG00000123268,Adipose_Subcutaneous,rectal
ENSG00000123268,Colon_Sigmoid,proximal
ENSG00000123268,Colon_Sigmoid,distal
ENSG00000123268,Adipose_Subcutaneous,distal
ENSG00000050405,Colon_Transverse,distal
ENSG00000149485,Colon_Sigmoid,colon
ENSG00000212993,Colon_Transverse,female
ENSG00000149485,Colon_Sigmoid,distal
ENSG00000212993,Colon_Transverse,proximal
ENSG00000135926,Adipose_Visceral_Omentum,colon
