Ensembl gene ID,Splice event chr,Splice event start position,Splice event end position,Tissue,Subtype
ENSG00000176845,17,83085323,83093167,Adipose_Visceral_Omentum,Male
ENSG00000267858,19,58575588,58581245,Colon_Sigmoid,Overall
ENSG00000213753,19,58575588,58581245,Colon_Sigmoid,Overall
ENSG00000213753,19,58586356,58591498,Colon_Transverse,Overall
ENSG00000267858,19,58586356,58591498,Colon_Transverse,Overall
ENSG00000213753,19,58586356,58589066,Adipose_Visceral_Omentum,Overall
ENSG00000267858,19,58586356,58589066,Adipose_Visceral_Omentum,Overall
ENSG00000213753,19,58591624,58598967,Adipose_Subcutaneous,Overall
ENSG00000267858,19,58591624,58598967,Adipose_Subcutaneous,Overall
ENSG00000267858,19,58575588,58598967,Adipose_Subcutaneous,Overall
ENSG00000213753,19,58575588,58598967,Adipose_Subcutaneous,Overall
ENSG00000123268,12,50796009,50809456,Adipose_Subcutaneous,Overall
ENSG00000099326,19,58563504,58569277,Colon_Sigmoid,Overall
ENSG00000123268,12,50796009,50809456,Adipose_Subcutaneous,Male
ENSG00000123268,12,50796009,50809456,Adipose_Subcutaneous,Colon
ENSG00000123268,12,50796009,50809456,Adipose_Subcutaneous,Female
ENSG00000102554,13,73063883,73075708,Colon_Transverse,Overall
ENSG00000123268,12,50809589,50814010,Adipose_Subcutaneous,Rectal
ENSG00000123268,12,50796009,50809456,Adipose_Subcutaneous,Rectal
ENSG00000123268,12,50796009,50809456,Adipose_Subcutaneous,Proximal
ENSG00000123268,12,50809589,50814010,Adipose_Subcutaneous,Distal
ENSG00000123268,12,50796009,50809456,Adipose_Subcutaneous,Distal
ENSG00000123268,12,50809589,50814010,Adipose_Visceral_Omentum,Colon
ENSG00000163466,2,218236733,218238664,Adipose_Subcutaneous,Colon
ENSG00000136280,7,45069961,45073460,Adipose_Subcutaneous,Female
ENSG00000123268,12,50809589,50814010,Adipose_Visceral_Omentum,Proximal
ENSG00000176845,17,83092510,83093167,Adipose_Visceral_Omentum,Male
ENSG00000176845,17,83092274,83093167,Colon_Transverse,Overall
ENSG00000014919,10,99714718,99716348,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000187764,9,89418118,89424476,Cells_EBV-transformed_lymphocytes,Proximal
ENSG00000187764,9,89418118,89424476,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000008323,12,6317696,6317899,Colon_Transverse,Overall
ENSG00000076650,19,33114419,33117825,Cells_EBV-transformed_lymphocytes,Rectal
ENSG00000014919,10,99696541,99716348,Colon_Transverse,Overall
ENSG00000176845,17,83092274,83093167,Adipose_Subcutaneous,Male
ENSG00000187764,9,89418118,89424476,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000163466,2,218234397,218238664,Adipose_Visceral_Omentum,Colon
ENSG00000014919,10,99713479,99716348,Adipose_Subcutaneous,Distal
ENSG00000176845,17,83085323,83093167,Adipose_Visceral_Omentum,Overall
ENSG00000093167,3,37096660,37129063,Adipose_Subcutaneous,Proximal
ENSG00000014919,10,99714718,99716348,Adipose_Subcutaneous,Colon
ENSG00000077514,11,74594116,74604692,Adipose_Subcutaneous,Colon
ENSG00000135862,1,183124876,183125397,Colon_Sigmoid,Overall
ENSG00000130702,20,62310311,62310665,Colon_Sigmoid,Overall
ENSG00000123268,12,50809589,50814010,Colon_Sigmoid,Overall
ENSG00000136280,7,45064001,45064463,Adipose_Subcutaneous,Female
ENSG00000214290,11,111299724,111300527,Colon_Transverse,Overall
ENSG00000130702,20,62322168,62322269,Adipose_Visceral_Omentum,Rectal
ENSG00000014919,10,99713479,99716348,Adipose_Subcutaneous,Colon
ENSG00000134824,11,61828597,61837778,Colon_Transverse,Overall
ENSG00000168496,11,61828597,61837778,Colon_Transverse,Overall
ENSG00000166888,12,57110110,57111129,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000130702,20,62353251,62362400,Adipose_Subcutaneous,Distal
ENSG00000134824,11,61816426,61837778,Colon_Sigmoid,Overall
ENSG00000168496,11,61816426,61837778,Colon_Sigmoid,Overall
ENSG00000135862,1,183128750,183130344,Colon_Sigmoid,Overall
ENSG00000135862,1,183124876,183125397,Adipose_Subcutaneous,Female
ENSG00000130702,20,62322168,62322269,Adipose_Visceral_Omentum,Overall
ENSG00000163466,2,218239484,218245420,Adipose_Visceral_Omentum,Colon
ENSG00000130702,20,62345585,62345818,Colon_Transverse,Overall
ENSG00000130702,20,62322168,62322269,Adipose_Visceral_Omentum,Female
ENSG00000014919,10,99696541,99716348,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000050405,12,50206068,50222021,Adipose_Visceral_Omentum,Distal
ENSG00000176845,17,83092510,83093167,Adipose_Visceral_Omentum,Overall
ENSG00000166923,15,32718161,32730690,Colon_Sigmoid,Overall
ENSG00000130702,20,62353251,62362400,Adipose_Subcutaneous,Overall
ENSG00000050405,12,50222485,50231665,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000130702,20,62353251,62362400,Adipose_Subcutaneous,Rectal
ENSG00000014919,10,99696541,99716348,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000099326,19,58571429,58572550,Adipose_Visceral_Omentum,Colon
ENSG00000176845,17,83092510,83093167,Adipose_Visceral_Omentum,Rectal
ENSG00000267858,19,58575588,58586155,Colon_Sigmoid,Overall
ENSG00000213753,19,58575588,58586155,Colon_Sigmoid,Overall
ENSG00000130702,20,62353251,62362400,Adipose_Subcutaneous,Female
ENSG00000130702,20,62353251,62362400,Adipose_Subcutaneous,Colon
ENSG00000050405,12,50206068,50222021,Adipose_Visceral_Omentum,Overall
ENSG00000050405,12,50222485,50231665,Cells_EBV-transformed_lymphocytes,Female
ENSG00000077514,11,74594116,74604692,Adipose_Subcutaneous,Distal
ENSG00000050405,12,50206068,50222021,Adipose_Visceral_Omentum,Colon
ENSG00000050405,12,50206068,50222021,Adipose_Visceral_Omentum,Female
